procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
66  0      0 151406288  49448 4961960    0    0     0     0 14828 18158  2  0 97  0  0
91  0      0 151394768  49448 4961972    0    0     0     0 12563 14143  2  0 97  0  0
125  0      0 151384432  49456 4961964    0    0     0    48 12419 14664  2  0 98  0  0
87  0      0 151370912  49456 4961964    0    0     0     0 11576 12881  2  0 97  0  0
33  0      0 151361120  49456 4961992    0    0     0     0 12637 13454  2  0 97  0  0
38  0      0 151352064  49456 4962144    0    0     0     0 12670 11542  2  0 97  0  0
43  0      0 151341632  49456 4963084    0    0     0     0 13683 12617  2  0 97  0  0
23  0      0 151329024  49464 4962952    0    0     0    64 13324 12684  2  0 97  0  0
25  0      0 151321760  49464 4962956    0    0     0     0 16934 23307  2  0 97  0  0
29  0      0 151316640  49464 4963052    0    0     0     0 13093 13560  2  0 97  0  0
466  0      0 151310240  49464 4963712    0    0     0     0 11181 10113  2  0 97  0  0
65  0      0 151296816  49464 4967204    0    0     0     0 13727 16159  2  0 97  0  0
150  0      0 151283280  49472 4967204    0    0     0    52 19787 23145  3  1 97  0  0
101  0      0 151268800  49472 4967212    0    0     0     0 14463 18115  2  0 97  0  0
16  0      0 151263472  49472 4967184    0    0     0     0 12523 13986  2  0 98  0  0
 9  0      0 151258720  49472 4967260    0    0     0     0 13070 12590  2  0 97  0  0
23  0      0 151253744  49472 4967252    0    0     0     0 14063 13320  2  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  0      0 151238960  49472 4967044    0    0     0     0 12800 11920  2  0 98  0  0
20  0      0 151234816  49472 4967060    0    0     0     0 12649 11770  2  0 97  0  0
22  0      0 151226432  49472 4968084    0    0     0     0 12419 11835  2  0 97  0  0
10  0      0 151218336  49472 4971564    0    0     0     0 13504 13705  2  0 98  0  0
34  0      0 151211152  49480 4971904    0    0     0    40 12510 12802  2  0 97  0  0
26  0      0 151209120  49480 4971904    0    0     0    24 12031 12340  2  0 98  0  0
66  0      0 151201120  49480 4971904    0    0     0     0 13446 13619  2  0 97  0  0
47  0      0 151196576  49480 4971904    0    0     0     0 13021 11917  2  0 97  0  0
