procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 129816496  32628 4354124    0    0     0     0 19368 32060  3  0 96  0  0
 0  0      0 129816000  32628 4354124    0    0     0     0 19323 32141  3  0 96  0  0
 3  0      0 129816256  32628 4354124    0    0     0     0 19665 32761  3  0 96  0  0
 0  0      0 129816168  32636 4354128    0    0     0    36 19318 32097  3  0 96  0  0
 1  0      0 129815280  32636 4354128    0    0     0     0 25461 37090  4  1 96  0  0
 0  0      0 129816288  32636 4354128    0    0     0     0 23106 38011  3  0 96  0  0
 0  0      0 129814400  32636 4354132    0    0     0     0 19482 32258  3  0 96  0  0
 0  0      0 129814496  32636 4354132    0    0     0     0 19391 32080  3  0 96  0  0
 1  0      0 129814384  32636 4354132    0    0     0     0 19466 32520  3  0 96  0  0
 3  0      0 129814584  32636 4354132    0    0     0     0 19372 32143  3  0 96  0  0
 7  0      0 129814584  32644 4354132    0    0     0    44 19406 32216  3  0 96  0  0
 0  0      0 129815712  32644 4354132    0    0     0     0 19480 32155  3  0 96  0  0
 0  0      0 129814840  32644 4354132    0    0     0     0 19495 32180  3  0 96  0  0
 0  0      0 129814584  32644 4354132    0    0     0     0 19356 32193  3  0 96  0  0
 1  0      0 129813968  32644 4354132    0    0     0     0 20023 32424  4  1 96  0  0
 3  0      0 129813936  32644 4354132    0    0     0     0 20043 32549  3  0 96  0  0
 5  0      0 129811272  32644 4354132    0    0     0     0 19398 32008  3  0 96  0  0
 0  0      0 129811808  32644 4354132    0    0     0     0 19452 32244  3  0 96  0  0
 1  0      0 129811688  32644 4354132    0    0     0    20 19556 32133  3  0 96  0  0
 0  0      0 129811688  32644 4354132    0    0     0     0 19419 32135  3  0 96  0  0
 0  0      0 129811688  32644 4354132    0    0     0     0 19525 32643  3  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 129811688  32652 4354132    0    0     0    40 19362 32189  3  0 96  0  0
 0  0      0 129811696  32652 4354132    0    0     0     0 19444 32283  3  0 96  0  0
 5  0      0 129812080  32652 4354132    0    0     0     0 19241 32076  3  0 96  0  0
10  0      0 129812080  32652 4354132    0    0     0     0 19313 32036  3  0 96  0  0
 5  0      0 129812560  32652 4354132    0    0     0     0 19897 32498  3  0 96  0  0
 0  0      0 129809984  32652 4354132    0    0     0     0 19383 32150  3  0 96  0  0
 1  0      0 129810912  32652 4354132    0    0     0     0 19482 32694  3  0 96  0  0
 0  0      0 129810912  32652 4354132    0    0     0     8 19318 32027  3  0 96  0  0
 1  0      0 129810912  32652 4354132    0    0     0     0 19402 32217  3  0 96  0  0
 0  0      0 129810912  32652 4354132    0    0     0     0 19421 32104  3  0 96  0  0
 3  0      0 129810912  32660 4354132    0    0     0    40 19342 32112  3  0 96  0  0
 0  0      0 129811448  32660 4354132    0    0     0     0 19965 33046  3  0 96  0  0
 5  0      0 129811448  32660 4354132    0    0     0     0 19552 32542  3  0 96  0  0
 0  0      0 129811328  32660 4354132    0    0     0     0 19486 32153  3  0 96  0  0
 2  0      0 129811448  32660 4354132    0    0     0     0 19347 32096  3  0 96  0  0
 0  0      0 129810496  32660 4354132    0    0     0     0 19502 32037  3  0 96  0  0
 0  0      0 129811200  32660 4354132    0    0     0     0 19279 31980  3  0 97  0  0
 0  0      0 129811200  32660 4354132    0    0     0    12 19465 32136  3  0 96  0  0
 3  0      0 129809312  32660 4354132    0    0     0     0 20769 32717  3  0 96  0  0
 5  0      0 129810144  32660 4353912    0    0     0     4 19360 32136  3  0 97  0  0
 0  0      0 129810576  32660 4353912    0    0     0     0 19382 32090  3  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 129811152  32660 4353736    0    0     0     0 20909 32790  3  0 96  0  0
 0  0      0 129811344  32668 4353736    0    0     0    68 19295 32086  3  0 96  0  0
 1  0      0 129811344  32668 4353736    0    0     0     0 19856 32315  4  1 96  0  0
 0  0      0 129811184  32668 4353736    0    0     0     0 20119 33282  3  0 96  0  0
 0  0      0 129808400  32668 4353780    0    0     0     0 19354 32178  3  0 96  0  0
 2  0      0 129808984  32668 4353780    0    0     0     0 19242 32116  3  0 96  0  0
 5  0      0 129808984  32668 4353780    0    0     0     0 19329 31911  3  0 96  0  0
 7  0      0 129808984  32668 4353780    0    0     0     0 19251 32025  3  0 96  0  0
 0  0      0 129808488  32668 4353780    0    0     0     0 19428 32144  3  0 96  0  0
 0  0      0 129808736  32676 4353780    0    0     0    16 19315 32092  3  0 96  0  0
 0  0      0 129808864  32676 4353780    0    0     0     0 19670 32766  3  0 96  0  0
 5  0      0 129808160  32684 4353772    0    0     0   112 20576 32887  3  0 96  0  0
 0  0      0 129808912  32684 4353580    0    0     0     0 20225 32631  3  0 96  0  0
 0  0      0 129809568  32684 4353628    0    0     0     0 19369 32205  3  0 96  0  0
 9  0      0 129807144  32684 4353628    0    0     0     0 19354 32055  3  0 96  0  0
 8  0      0 129807448  32684 4353628    0    0     0     0 19342 32163  3  0 96  0  0
14  0      0 129806712  32684 4353628    0    0     0     0 19477 32433  3  0 96  0  0
 7  0      0 129806832  32692 4353628    0    0     0    40 19244 31941  3  0 96  0  0
14  0      0 129806832  32692 4353628    0    0     0     0 19278 32058  3  0 96  0  0
 1  0      0 129806832  32692 4353628    0    0     0     0 19384 32171  3  0 96  0  0
 3  0      0 129806936  32692 4353628    0    0     0     0 19497 32187  3  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 129807056  32692 4353628    0    0     0     0 19285 32134  3  0 96  0  0
 6  0      0 129806440  32692 4353628    0    0     0     0 19318 32136  3  0 97  0  0
 3  0      0 129806256  32692 4353628    0    0     0     0 19923 32588  3  0 96  0  0
 1  0      0 129804416  32692 4353516    0    0     0     0 19468 32087  3  0 96  0  0
10  0      0 129804640  32692 4353516    0    0     0     0 19276 32118  3  0 97  0  0
 0  0      0 129804640  32692 4353516    0    0     0     8 19616 32718  3  0 96  0  0
 0  0      0 129804640  32692 4353516    0    0     0     0 19474 32244  3  0 96  0  0
 8  0      0 129804768  32692 4353516    0    0     0     0 19376 32140  3  0 96  0  0
 8  0      0 129804768  32700 4353516    0    0     0    40 19394 32097  3  0 96  0  0
 0  0      0 129804800  32700 4353516    0    0     0     0 19398 32125  3  0 96  0  0
 2  0      0 129804784  32700 4353516    0    0     0    12 19387 32222  3  0 96  0  0
 0  0      0 129804912  32700 4353516    0    0     0     0 19940 32329  4  1 96  0  0
 1  0      0 129804912  32700 4353516    0    0     0     0 19281 32109  3  0 96  0  0
 0  0      0 129802096  32700 4353520    0    0     0     0 20010 32542  3  0 96  0  0
 7  0      0 129803040  32700 4353520    0    0     0     0 19418 32821  3  0 97  0  0
 4  0      0 129803168  32700 4353520    0    0     0     0 19308 31982  3  0 96  0  0
 0  0      0 129803168  32708 4353520    0    0     0    52 19232 32040  3  0 97  0  0
 0  0      0 129803048  32708 4353520    0    0     0     0 19262 32015  3  0 97  0  0
 4  0      0 129803168  32708 4353520    0    0     0     0 19419 32193  3  0 96  0  0
 8  0      0 129802928  32708 4353520    0    0     0     0 19296 32023  3  0 96  0  0
11  0      0 129802800  32708 4353520    0    0     0     0 19334 32209  3  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 129802800  32708 4353520    0    0     0     0 19386 32017  3  0 96  0  0
 1  0      0 129802144  32708 4353520    0    0     0     0 20066 32656  3  0 96  0  0
 0  0      0 129802272  32708 4353232    0    0     0     0 19308 32034  3  0 96  0  0
 0  0      0 129803472  32708 4353232    0    0     0     0 19282 32020  3  0 96  0  0
 2  0      0 129803472  32708 4353232    0    0     0    12 19433 32101  3  0 96  0  0
 0  0      0 129803712  32708 4353236    0    0     0     0 19392 32207  3  0 96  0  0
 1  0      0 129803712  32708 4353236    0    0     0     0 19286 32090  3  0 96  0  0
 4  0      0 129803840  32716 4353236    0    0     0    40 19238 32094  3  0 96  0  0
 2  0      0 129803800  32716 4353236    0    0     0     0 19448 32157  3  0 96  0  0
 0  0      0 129803920  32716 4353236    0    0     0     0 19466 32785  3  0 96  0  0
 0  0      0 129803920  32716 4353236    0    0     0     0 19426 32214  3  0 96  0  0
 2  0      0 129803984  32716 4353236    0    0     0     0 19374 32026  3  0 96  0  0
 7  0      0 129799040  32716 4353236    0    0     0     0 20784 32672  3  0 96  0  0
 0  0      0 129800136  32716 4353236    0    0     0     0 19367 32202  3  0 96  0  0
 0  0      0 129800400  32716 4353236    0    0     0     0 19552 32775  3  0 96  0  0
 2  0      0 129800400  32716 4353236    0    0     0     0 19376 32165  3  0 96  0  0
 6  0      0 129800432  32716 4353240    0    0     0     0 20751 32726  3  0 96  0  0
 0  0      0 129800744  32716 4353240    0    0     0     0 19448 32304  3  0 96  0  0
10  0      0 129798696  32724 4353240    0    0     0    48 20565 32764  3  0 96  0  0
 0  0      0 129798896  32724 4353080    0    0     0     0 20760 32773  3  0 96  0  0
 1  0      0 129799928  32724 4353088    0    0     0     0 20046 32400  3  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 129799664  32724 4353088    0    0     0     0 20055 32749  3  0 96  0  0
 0  0      0 129796176  32724 4353096    0    0     0     0 19462 32169  3  0 96  0  0
 0  0      0 129797616  32724 4353096    0    0     0     0 19368 32180  3  0 96  0  0
10  0      0 129797616  32740 4353088    0    0     0    96 19335 32480  3  0 97  0  0
 0  0      0 129797736  32740 4353096    0    0     0     0 19424 32180  3  0 96  0  0
 0  0      0 129797856  32740 4353096    0    0     0     0 19365 32076  3  0 96  0  0
 0  0      0 129798000  32740 4353096    0    0     0     0 19333 32113  3  0 96  0  0
 2  0      0 129798112  32740 4353096    0    0     0     0 19340 32076  3  0 96  0  0
 3  0      0 129797104  32748 4353088    0    0     0    36 19604 32410  3  0 96  0  0
 3  0      0 129795968  32748 4353120    0    0     0     0 20938 33015  3  0 96  0  0
 1  0      0 129796368  32748 4353132    0    0     0     0 19188 32083  3  0 97  0  0
 2  0      0 129794040  32748 4353132    0    0     0     0 19295 32051  3  0 97  0  0
22  0      0 129794128  32748 4353132    0    0     0     0 19225 32043  3  0 96  0  0
 0  0      0 129794128  32748 4353132    0    0     0     0 19502 32700  3  0 96  0  0
 1  0      0 129794128  32756 4353132    0    0     0    40 19178 32069  3  0 96  0  0
 1  0      0 129793616  32756 4353132    0    0     0     0 19335 32038  3  0 96  0  0
11  0      0 129793744  32756 4353132    0    0     0     0 19477 32231  3  0 96  0  0
 0  0      0 129793616  32756 4353132    0    0     0     0 19279 32011  3  0 96  0  0
 2  0      0 129793864  32756 4353132    0    0     0    52 19417 32785  3  0 96  0  0
 8  0      0 129793984  32756 4353132    0    0     0     0 24291 38583  4  1 96  0  0
 0  0      0 129795392  32756 4353132    0    0     0     0 21603 36173  3  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 129793824  32756 4353236    0    0     0     0 19692 32299  3  0 96  0  0
 2  0      0 129794144  32756 4353236    0    0     0     0 19366 32098  3  0 96  0  0
 0  0      0 129794112  32756 4353236    0    0     0    20 19381 32110  3  0 96  0  0
 0  0      0 129794112  32756 4353236    0    0     0     0 19359 32663  3  0 97  0  0
 0  0      0 129794232  32764 4353236    0    0     0    40 19492 32137  3  0 96  0  0
 6  0      0 129794248  32764 4353236    0    0     0     0 19421 32155  3  0 96  0  0
11  0      0 129794232  32764 4353236    0    0     0     0 19366 32079  3  0 96  0  0
 2  0      0 129794352  32764 4353240    0    0     0     0 19440 32253  3  0 96  0  0
 7  0      0 129794112  32764 4353240    0    0     0     0 20029 32373  3  1 96  0  0
 3  0      0 129794232  32764 4353240    0    0     0     0 19316 32002  3  0 96  0  0
 0  0      0 129793888  32768 4353244    0    0     0    20 20204 32638  3  0 96  0  0
 2  0      0 129794888  32768 4353280    0    0     0     0 19424 32349  3  0 96  0  0
 1  0      0 129795008  32768 4353280    0    0     0     0 19449 32139  3  0 96  0  0
 2  0      0 129795008  32768 4353280    0    0     0     0 19434 32172  3  0 96  0  0
 4  0      0 129795136  32768 4353280    0    0     0     0 19311 32076  3  0 96  0  0
 4  0      0 129795136  32776 4353272    0    0     0    36 19356 32266  3  0 97  0  0
 0  0      0 129795152  32776 4353280    0    0     0     0 19367 32175  3  0 97  0  0
 0  0      0 129794640  32776 4353280    0    0     0    20 19376 32597  3  0 96  0  0
 3  0      0 129794640  32776 4353280    0    0     0     0 19316 32054  3  0 96  0  0
 0  0      0 129793976  32776 4353280    0    0     0     0 19842 32553  3  0 96  0  0
 1  0      0 129790760  32776 4353384    0    0     0     0 19630 32342  3  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 129791584  32776 4353384    0    0     0     0 19333 32159  3  0 96  0  0
 1  0      0 129791704  32776 4353384    0    0     0    12 19544 32760  3  0 96  0  0
 0  0      0 129791808  32776 4353384    0    0     0     0 19456 32303  3  0 96  0  0
 5  0      0 129791952  32784 4353376    0    0     0    48 19478 32059  3  0 96  0  0
 0  0      0 129792200  32784 4353384    0    0     0     0 19354 32117  3  0 96  0  0
 0  0      0 129792320  32784 4353384    0    0     0     0 19419 32094  3  0 96  0  0
 2  0      0 129792224  32784 4353384    0    0     0     0 19544 32439  3  0 96  0  0
11  0      0 129792576  32784 4353384    0    0     0     0 19456 32589  3  0 97  0  0
 2  0      0 129792448  32784 4353384    0    0     0     0 19480 32028  3  0 96  0  0
 7  0      0 129790296  32784 4353384    0    0     0     0 19413 32078  3  0 96  0  0
 6  0      0 129790336  32784 4353384    0    0     0     0 19310 32190  3  0 96  0  0
 6  0      0 129790336  32784 4353384    0    0     0     0 19251 31856  3  0 96  0  0
 0  0      0 129790336  32784 4353384    0    0     0     0 19558 32223  3  0 96  0  0
 1  0      0 129789776  32784 4353408    0    0     0     0 20980 33194  3  0 96  0  0
 0  0      0 129790400  32784 4353420    0    0     0     0 19486 32394  3  0 96  0  0
 0  0      0 129789792  32784 4353420    0    0     0     0 20557 32747  3  0 96  0  0
 2  0      0 129789656  32784 4353560    0    0     0    20 19320 32118  3  0 96  0  0
 0  0      0 129790400  32784 4353560    0    0     0     0 20095 32375  4  1 96  0  0
 0  0      0 129791264  32792 4353552    0    0     0    40 20203 32769  3  0 96  0  0
 0  0      0 129789520  32792 4353720    0    0     0     0 19546 32191  3  0 96  0  0
 2  0      0 129789632  32792 4353720    0    0     0     0 19302 32071  3  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 129789312  32792 4353720    0    0     0     0 20704 33231  3  0 96  0  0
 5  0      0 129789952  32792 4353736    0    0     0     0 19411 32273  3  0 96  0  0
 2  0      0 129790176  32800 4353728    0    0     0    52 19416 32104  3  0 96  0  0
12  0      0 129790400  32800 4353736    0    0     0     0 19332 32504  3  0 97  0  0
 0  0      0 129790416  32800 4353736    0    0     0     0 19334 32089  3  0 96  0  0
 1  0      0 129790416  32800 4353736    0    0     0     0 19550 32775  3  0 96  0  0
 0  0      0 129789352  32800 4353744    0    0     0     0 21344 33131  3  0 96  0  0
 1  0      0 129787616  32800 4353760    0    0     0     0 21489 33400  3  0 96  0  0
 1  0      0 129784336  32800 4353764    0    0     0     0 19368 32055  3  0 96  0  0
 1  0      0 129784704  32800 4353764    0    0     0     0 19510 32502  3  0 96  0  0
